,Basophils,Bcells,CD4,CD8,Colony,Common myeloid progenitor,Eosinophill,Erythroid,Granulocyte,Hematopoietic stem cell,Mature NK,Megakaryocyte,Monocyte,Myeloid Dendritic Cell,Plasmacytoid Dendritic Cell
GSM609632,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609633,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609634,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609636,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609637,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609638,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609639,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609640,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609641,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609642,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609643,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609644,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609645,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609646,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609648,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609649,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609650,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609651,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609652,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609653,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609654,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609655,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609656,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609657,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GSM609658,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GSM609659,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GSM609660,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GSM609661,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GSM609662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GSM609663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GSM609664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GSM609665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GSM609666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GSM609667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GSM609668,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GSM609669,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GSM609670,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GSM609671,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
GSM609672,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GSM609673,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GSM609674,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GSM609675,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GSM609676,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GSM609677,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609678,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609679,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609680,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609681,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609682,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609683,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609685,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609686,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609687,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609688,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609689,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609690,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609692,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609693,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609694,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609695,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609696,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609697,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609698,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609699,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609700,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609701,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609702,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609703,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609705,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609706,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609707,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609708,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609709,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
GSM609710,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609711,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609713,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GSM609714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GSM609715,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
